Имя	Описание	Состояние  	Тип запуска	Вход от имени
Родительский контроль	Применяет родительский контроль к учетным записям детей в Windows. Если эта служба остановлена или отключена, родительский контроль применить невозможно.		Вручную	Локальная система
Сборщик событий Windows	Эта служба управляет постоянными подписками на события от удаленных источников, поддерживающих протокол WS-Management. Сюда входят журналы событий Windows Vista, оборудование, а также источники с интерфейсом IPMI. Эта служба хранит пересылаемые события в локальном журнале событий. Если эта служба остановлена или отключена, подписки на события не могут быть созданы и отправленные события не могут быть приняты.		Вручную	Сетевая служба
Сведения о приложении	Обеспечивает выполнение интерактивных приложений с дополнительными административными привилегиями.  Если эта служба будет остановлена, пользователи не смогут запускать приложения с дополнительными административными привилегиями, которые могут потребоваться для выполнения нужных пользовательских заданий.	Выполняется	Вручную (активировать запуск)	Локальная система
Сведения о расположении в сети	Собирает и сохраняет сведения о конфигурации сети и уведомляет программы при изменении этих сведений. Если данная служба будет остановлена, сведения о конфигурации могут стать недоступными. Если данная служба отключена, все явно зависящие от нее службы запустить не удастся.		Вручную	Сетевая служба
Сервер	Поддерживает общий доступ к файлам, принтерам и именованным каналам для данного компьютера через сетевое подключение. Если служба остановлена, такие функции не удастся выполнить. Если данная служба отключена, не удастся запустить любые явно зависимые службы.	Выполняется	Автоматически (запуск по триггеру)	Локальная система
Сервер кадров камеры Windows	Позволяет нескольким клиентам получать доступ к видеокадрам с устройств, оснащенных камерой.		Вручную (активировать запуск)	Локальная служба
Сетевая служба Xbox Live	Данная служба поддерживает программный интерфейс Windows.Networking.XboxLive.		Вручную	Локальная система
Сетевой вход в систему	Обеспечивает безопасный канал связи между этим компьютером и контроллером домена для проверки подлинности пользователей и служб. Если эта служба остановлена, компьютер может быть неспособен проверять подлинность пользователей и служб и контроллер домена не может регистрировать DNS-записи. Если эта служба отключена, любые службы, которые явно зависят от нее, не могут быть запущены.		Вручную	Локальная система
Сетевые подключения	Управляет объектами папки ''Сеть и удаленный доступ к сети'', отображающей свойства локальной сети и подключений удаленного доступа.		Вручную	Локальная система
Система событий COM+	Поддержка службы уведомления о системных событиях (SENS), обеспечивающей автоматическое распространение событий подписавшимся компонентам COM. Если данная служба остановлена, SENS будет закрыта и не сможет предоставлять уведомления входа и выхода. Если данная служба отключена, все явно зависящие от нее службы не смогут запуститься.	Выполняется	Автоматически	Локальная служба
Системное приложение COM+	Управление настройкой и отслеживанием компонентов COM+. Если данная служба остановлена, большинство компонентов COM+ не будет работать правильно. Если данная служба отключена, все явно зависящие от нее службы не смогут запуститься.		Вручную	Локальная система
Служба "Безопасность Windows"	Служба "Безопасность Windows" обрабатывает объединенную информацию о защите и работоспособности устройства	Выполняется	Вручную	Локальная система
Служба Advanced Threat Protection в Защитнике Windows	Служба Advanced Threat Protection в Защитнике Windows помогает защитить от дополнительных угроз посредством наблюдения и отчетности о событиях безопасности, происходящих на компьютере.		Вручную	Локальная система
Служба AssignedAccessManager	Служба AssignedAccessManager поддерживает интерфейс терминала в Windows.		Вручную (активировать запуск)	Локальная система
Служба AVCTP	Это служба протокола транспортировки управления аудио и видео	Выполняется	Вручную (активировать запуск)	Локальная служба
Служба Google Update (gupdate)	Следите за тем, чтобы ваше ПО Google всегда обновлялось. Если отключить или остановить эту службу, ваше ПО Google не будет обновляться. Это может поставить безопасность под угрозу, а также привести к тому, что некоторые функции перестанут работать. Эта служба удаляется автоматически, если нет ПО Google, которое ее использует.		Автоматически (отложенный запуск)	Локальная система
Служба Google Update (gupdatem)	Следите за тем, чтобы ваше ПО Google всегда обновлялось. Если отключить или остановить эту службу, ваше ПО Google не будет обновляться. Это может поставить безопасность под угрозу, а также привести к тому, что некоторые функции перестанут работать. Эта служба удаляется автоматически, если нет ПО Google, которое ее использует.		Вручную	Локальная система
Служба Hyper-V PowerShell Direct	Обеспечивает механизм управления виртуальной машиной через PowerShell с помощью сеанса виртуальной машины без виртуальной сети.		Вручную (активировать запуск)	Локальная система
Служба Language Experience Service	Обеспечивает поддержку инфраструктуры для развертывания и настройки локализованных ресурсов Windows. Эта служба запускается по требованию. Если она отключена, дополнительные языки Windows не будут развернуты в системе, а ОС Windows может работать неправильно.		Вручную	Локальная система
Служба Medic центра обновления Windows	Включает исправление и защиту компонентов Центра обновления Windows.		Вручную	Локальная система
Служба Microsoft Office "Нажми и работай"	?Эта служба управляет координацией ресурсов, фоновой потоковой передачей и системной интеграцией продуктов Microsoft Office, а также их обновлений. Она должна быть запущена во время начальной установки программ Microsoft Office по сети, их использования и всех последующих обновлений.?	Выполняется	Автоматически	Локальная система
Служба Microsoft Passport	Обеспечивает изоляцию процесса для ключей шифрования, используемых для проверки подлинности для связанных поставщиков удостоверений пользователя. Если эта служба отключена, все варианты использования этих ключей и управления ими не будут доступны, включая вход в систему компьютера и единый вход для приложений и веб-сайтов. Эта служба запускается и останавливается автоматически. Не рекомендуется перенастраивать эту службу.		Вручную (активировать запуск)	Локальная система
Служба OpenXR для Windows Mixed Reality	Включает функции среды выполнения OpenXR смешанной реальности		Вручную	Локальная система
Служба PushToInstall Windows	Обеспечивает поддержку инфраструктуры для Microsoft Store. Эта служба запускается автоматически и если отключена, то удаленные установки не будут функционировать должным образом.		Вручную (активировать запуск)	Локальная система
Служба SSTP	Обеспечивает поддержку протокола SSTP (Secure Socket Tunneling Protocol) для подключения к удаленным компьютерам с помощью VPN. Если эта служба отключена, пользователи не смогут использовать SSTP для доступа к удаленным серверам.	Выполняется	Вручную	Локальная служба
Служба Windows License Manager	Обеспечивает поддержку инфраструктуры для Microsoft Store. Эта служба запускается по требованию и если она отключена, то содержимое, приобретенное в Microsoft Store, не будет функционировать должным образом.	Выполняется	Вручную (активировать запуск)	Локальная служба
Служба Windows Mobile Hotspot	Позволяет использовать соединение для передачи данных на другом устройстве.		Вручную (активировать запуск)	Локальная служба
Служба автоматического обнаружения веб-прокси WinHTTP	WinHTTP реализует стек клиента HTTP и обеспечивает разработчикам Win32 API и компонент автоматизации COM для отправки запросов HTTP и получения ответов. Кроме того, WinHTTP обеспечивает поддержку автоматического обнаружения конфигурации прокси через реализацию протокола WPAD (Web Proxy Auto-Discovery).	Выполняется	Вручную	Локальная служба
Служба автонастройки WLAN	Служба WLANSVC предоставляет логику, необходимую для настройки, обнаружения, подключения и отключения локальных беспроводных сетей согласно стандартам IEEE 802.11. Также она содержит логику для превращения компьютера в программную точку доступа, в результате чего другие устройства или компьютеры смогут подключаться к вашему компьютеру с помощью адаптера беспроводной сети, который поддерживает подобную функцию. Остановка или отключение службы WLANSVC приведет к тому, что все адаптеры беспроводных сетей на этом компьютеры станут недоступными из раздела пользовательского интерфейса Windows, отвечающего за управление сетью. Настоятельно рекомендуется запустить и не останавливать службу WLANSVC, если к компьютеру подключен адаптер беспроводной сети.	Выполняется	Автоматически	Локальная система
Служба антивирусной программы Microsoft Defender	Позволяет пользователям защититься от вредоносных и иных потенциально нежелательных программ		Вручную	Локальная система
Служба базовой фильтрации	Служба базовой фильтрации (BFE) представляет собой службу, которая управляет политиками брандмауэра и политиками IP-безопасности (IPsec), применяя фильтрацию пользовательских режимов. Остановка или отключение службы BFE значительно снижает уровень безопасности системы. Это также приводит к непредсказуемым действиям при управлении IPsec и работе приложений брандмауэра.	Выполняется	Автоматически	Локальная служба
Служба виртуализации взаимодействия с пользователем	Обеспечивает поддержку при перемещении параметров приложений и ОС		Отключена	Локальная система
Служба виртуализации удаленных рабочих столов Hyper-V	Эта служба предоставляет платформу для обмена данными между виртуальной машиной и операционной системой физического компьютера.		Вручную (активировать запуск)	Локальная система
Служба восприятия Windows	Позволяет выполнять пространственное восприятие, пространственный ввод и голографическую отрисовку.		Вручную (активировать запуск)	Локальная служба
Служба времени Windows	Управляет синхронизацией даты и времени на всех клиентах и серверах в сети. Если эта служба остановлена, синхронизация даты и времени не будет доступна. Если эта служба отключена, любые службы, которые явно зависят от нее, не могут быть запущены.		Вручную (активировать запуск)	Локальная служба
Служба географического положения	Эта служба отслеживает местоположение системы и управляет геозонами (географическими расположениями, с которыми сопоставлены события). Если отключить эту службу, приложения не смогут получать и использовать уведомления для географического положения и геозон.	Выполняется	Вручную (активировать запуск)	Локальная система
Служба данных датчиков	Получение данных различных датчиков		Вручную (активировать запуск)	Локальная система
Служба датчиков	Служба сенсоров управляет различными функциями сенсоров. Управляет Простой ориентацией устройства (SDO) и Журнал сенсоров. Загружает простой датчик ориентации устройства, который передает сведения об изменениях в ориентации устройства.  Если эта служба остановлена или отключена, простой датчик ориентации устройства не будет загружаться и автоповорот не будет работать. Наполнение журнала датчиков также будет прекращено.		Вручную (активировать запуск)	Локальная система
Служба демонстрации магазина	Служба демонстрации магазина контролирует действия устройства, когда на нем используется режим демонстрации магазина.		Вручную	Локальная система
Служба диспетчера доступа к возможностям	Предоставляет средства для управления доступом приложений UWP к возможностям приложений и проверки доступа приложения к определенным возможностям приложений	Выполняется	Вручную	Локальная система
Служба диспетчера подключений служб Wi-Fi Direct	Управляет подключениями к беспроводным службам, в том числе службам беспроводного отображения и стыковки.		Вручную (активировать запуск)	Локальная служба
Служба завершения работы в качестве гостя (Hyper-V)	Она также предоставляет механизм завершения работы операционной системы этой виртуальной машины с помощью интерфейса управления физического компьютера.		Вручную (активировать запуск)	Локальная система
Служба загрузки изображений Windows (WIA)	Обеспечивает службы получения изображений со сканеров и цифровых камер	Выполняется	Автоматически (запуск по триггеру)	Локальная служба
Служба запросов на теневое копирование томов Hyper-V	Согласовывает обмен данными, необходимыми при использовании службы теневого копирования томов для резервного копирования приложений и данных на этой виртуальной машине с операционной системы физического компьютера.		Вручную (активировать запуск)	Локальная система
Служба звукового шлюза Bluetooth	Служба, поддерживающая роль звукового шлюза профиля беспроводной связи Bluetooth.		Вручную (активировать запуск)	Локальная служба
Служба идентификации облачных удостоверений (Майкрософт)	Поддерживает интеграцию с облачными службами идентификации Microsoft. Если отключено, ограничения для клиентов не будут применяться должным образом.		Вручную	Сетевая служба
Служба имитации восприятия Windows	Включает моделирование пространственного восприятия, управление виртуальной камерой и моделирование пространственного ввода.		Вручную	Локальная система
Служба инициатора Майкрософт iSCSI	Управляет сеансами Интернет-SCSI (iSCSI) между компьютером и удаленными целевыми устройствами iSCSI. Если эта служба остановлена, компьютер не сможет выполнить вход в систему или получить доступ к целевым устройствам iSCSI. Если данная служба отключена, ни одну явно зависящую от нее службу запустить не удастся.		Вручную	Локальная система
Служба интерфейса сохранения сети	Эта служба отправляет сетевые уведомления (например, о добавлении или удалении интерфейса и т. п.) клиентам пользовательских режимов. Остановка этой службы вызовет отключение от сети. Если данная служба отключена, все явно зависящие от нее службы запустить не удастся.	Выполняется	Автоматически	Локальная служба
Служба инфраструктуры фоновых задач	Служба инфраструктуры Windows, контролирующая возможность выполнения фоновых задач в системе.	Выполняется	Автоматически	Локальная система
Служба истории файлов	Защищает файлы пользователя от случайной потери за счет их копирования в резервное расположение		Вручную (активировать запуск)	Локальная система
Служба компоновщика объемного звука	Пространственный анализ для симуляции звука в смешанной реальности.		Вручную	Локальная служба
Служба кошелька	Содержит объекты, используемые клиентами кошелька		Вручную	Локальная система
Служба кэша шрифтов Windows	Оптимизирует производительность приложений, кэшируя наиболее часто используемые данные о шрифтах. Приложения будут запускать эту службу, если она еще не выполняется. Отключение службы может привести к снижению производительности приложения.	Выполняется	Автоматически	Локальная служба
Служба лицензий клиента (ClipSVC)	Обеспечивает поддержку инфраструктуры для Microsoft Store. Эта служба запускается по требованию, и при ее отключении приложения, приобретенные с помощью Магазина Windows, не будут работать правильно.		Вручную (активировать запуск)	Локальная система
Служба маршрутизатора AllJoyn	Перенаправляет сообщения AllJoyn для локальных клиентов AllJoyn. Если эта служба будет остановлена, клиенты AllJoyn, у которых нет своих связанных маршрутизаторов, не смогут запуститься.		Вручную (активировать запуск)	Локальная служба
Служба маршрутизатора SMS Microsoft Windows.	Перенаправляет сообщения на основе правил на соответствующие клиенты.		Вручную (активировать запуск)	Локальная служба
Служба маршрутизации push-сообщений на основе протокола WAP (Wireless Application Protocol) для управления устройствами	Направляет push-сообщения на основе протокола WAP, которые получило устройство, и синхронизирует сеансы управления устройствами		Вручную (активировать запуск)	Локальная система
Служба модуля архивации на уровне блоков	Служба WBENGINE используется архивацией данных для выполнения операций архивации и восстановления. Если пользователь остановит эту службу, это может привести к ошибке текущей операции архивации или восстановления. Отключение этой службы может привести к отключению операций архивации и восстановления, использующих архивацию данных на этом компьютере.		Вручную	Локальная система
Служба наблюдения за датчиками	Ведет наблюдение за различными датчиками для предоставления доступа к данным адаптации к системному и пользовательскому состоянию.  В случае остановки или отключения этой службы корректировка яркости дисплея в соответствии с освещенностью не производится. Остановка этой службы также может повлиять на другие функции системы.		Вручную (активировать запуск)	Локальная служба
Служба настройки преобразования IP-адресов	Настраивает и включает преобразование из v4 на v6 и наоборот		Вручную (активировать запуск)	Локальная система
Служба настройки сети	Служба параметры сети управляет установкой сетевых драйверов и разрешает конфигурацию низкоуровневых параметров сети. В случае остановки этой службы все выполняемые установки драйверов могут быть отменены.		Вручную (активировать запуск)	Локальная система
Служба обмена данными (Hyper-V)	Служба предоставляет механизм обмена данными между виртуальной машиной и операционной системой физического компьютера.		Вручную (активировать запуск)	Локальная система
Служба общего доступа к портам Net.Tcp	Предоставляет возможность совместного использования TCP-портов по протоколу Net.Tcp.		Отключена	Локальная служба
Служба общих сетевых ресурсов проигрывателя Windows Media	Общий доступ к библиотекам проигрывателя Windows Media к другим сетевым проигрывателям и самонастраиваемым устройствам.		Вручную	Сетевая служба
Служба оркестратора обновлений	Управляет обновлениями Windows. Если она остановлена, ваши устройства не смогут загружать и устанавливать последние обновления.	Выполняется	Автоматически (отложенный запуск)	Локальная система
Служба перечисления устройств чтения смарт-карт	Создает узлы программного устройства для всех устройств чтения смарт-карт, доступных в указанном сеансе. Если эта служба отключена, перечисление устройств чтения смарт-карт API-интерфейсами WinRT будет недоступно.		Вручную (активировать запуск)	Локальная система
Служба перечислителя переносных устройств	Применяет групповую политику к съемным запоминающим устройствам. Разрешает приложениям, таким как проигрыватель Windows Media и мастер импорта рисунков, передавать и синхронизировать содержание при использовании съемных запоминающих устройств.		Вручную (активировать запуск)	Локальная система
Служба платформы подключенных устройств	Эта служба используется в сценариях платформы подключенных устройств	Выполняется	Автоматически (отложенный запуск, запуск по триггеру)	Локальная служба
Служба поддержки Bluetooth	Служба Bluetooth поддерживает обнаружение и согласование удаленных устройств Bluetooth. Остановка или отключение этой службы может привести к сбоям в работе уже установленных устройств Bluetooth, а также к невозможности обнаружения и согласования новых устройств.		Вручную (активировать запуск)	Локальная служба
Служба политики диагностики	Служба политики диагностики позволяет обнаруживать проблемы, устранять неполадок и разрешать вопросы, связанные с работой компонентов Windows.  Если остановить данную службу, диагностика не будет работать.	Выполняется	Автоматически	Локальная служба
Служба политики отображения	Управление подключением и конфигурацией локальных и удаленных дисплеев	Выполняется	Автоматически (отложенный запуск)	Локальная служба
Служба помощника по локальному профилю	Эта служба обеспечивает управление профилями для модулей удостоверений подписчика		Вручную (активировать запуск)	Локальная служба
Служба помощника по совместимости программ	Обеспечивает поддержку помощника по совместимости программ. Он следит за программами, устанавливаемыми и запускаемыми пользователем, и обнаруживает известные проблемы, связанные с совместимостью. Если остановить данную службу, то помощник по совместимости программ будет работать неправильно.	Выполняется	Автоматически (отложенный запуск, запуск по триггеру)	Локальная система
Служба предварительной оценки Windows	Предоставляет поддержку инфраструктуры для Программы предварительной оценки Windows. Чтобы Программа предварительной оценки Windows работала, эта служба должна быть включена.		Вручную (активировать запуск)	Локальная система
Служба проверки сети антивирусной программы Microsoft Defender	Позволяет защититься от попыток вторжения, нацеленных на известные и вновь обнаруженные уязвимости в сетевых протоколах		Вручную	Локальная служба
Служба пространственных данных	Эта служба используется для сценариев пространственного восприятия		Вручную	Локальная служба
Служба профилей пользователей	Эта служба отвечает за загрузку и выгрузку профилей пользователей. Если эту службу остановить или отключить, пользователи не смогут входить в систему и выходить из нее, в приложениях могут возникать проблемы при обращении к данным пользователей, а компоненты, зарегистрированные для получения уведомлений о событиях профилей, не будут их получать.	Выполняется	Автоматически	Локальная система
Служба публикации имен компьютеров PNRP	Эта служба публикует имя компьютера посредством протокола однорангового разрешения имен (Peer Name Resolution Protocol).  Конфигурация управляется посредством команды netsh с контекстом "p2p pnrp peer" 		Вручную	Локальная служба
Служба пульса (Hyper-V)	Эта служба следит за состоянием виртуальной машины и регулярно генерирует пульс. Она помогает выявлять выполняющиеся виртуальные машины, которые перестали отвечать.		Вручную (активировать запуск)	Локальная система
Служба развертывания AppX (AppXSVC)	Обеспечивает поддержку инфраструктуры для развертывания приложений из Store. Эта служба запускается по требованию. Если она отключена, приложения из Store не будут развертываться в системе и могут работать неправильно.	Выполняется	Вручную (активировать запуск)	Локальная система
Служба регистрации ошибок Windows	Разрешает отправку отчетов об ошибках в случае прекращения работы или зависания программы, а также разрешает доставку имеющихся решений проблем. Также разрешает создание журналов для служб диагностики и восстановления. Если эта служба остановлена, то могут не работать отчеты об ошибках и не отображаться результаты служб диагностики и восстановления.		Вручную (активировать запуск)	Локальная система
Служба регистрации управления устройством	Выполняет действия по регистрации устройства для управления устройством		Вручную	Локальная система
Служба репозитория состояний	Обеспечивает поддержку требуемой инфраструктуры для модели приложения.	Выполняется	Автоматически	Локальная система
Служба сенсорной клавиатуры и панели рукописного ввода	Обеспечивает функционирование пера и рукописного ввода для сенсорной клавиатуры и панели рукописного ввода	Выполняется	Вручную (активировать запуск)	Локальная система
Служба синхронизации времени Hyper-V	Служба синхронизует таймеры этой виртуальной машины и физического компьютера.		Вручную (активировать запуск)	Локальная служба
Служба системы push-уведомлений Windows	Эта служба запускается в сеансе 0 и служит местом размещения платформы уведомлений и поставщика подключений, обрабатывающего соединение между устройством и сервером WNS.	Выполняется	Автоматически	Локальная система
Служба совместного доступа к данным	Выполняет функции посредника при передаче данных между приложениями.		Вручную (активировать запуск)	Локальная система
Служба сопоставления устройств	Связывание системы с проводными и беспроводными устройствами.	Выполняется	Вручную (активировать запуск)	Локальная система
Служба списка сетей	Определяет сети, к которым подключен компьютер, собирает и хранит данные о свойствах этих сетей и оповещает приложения об изменении этих свойств.	Выполняется	Вручную	Сетевая служба
Служба уведомления о системных событиях	Ведет наблюдение за системными событиями и уведомляет подписчиков системы событий COM+ об этих событиях.	Выполняется	Автоматически	Локальная система
Служба удаленного управления Windows (WS-Management)	Служба удаленного управления Windows (WinRM) применяет протокол WS-Management для удаленного управления. WS-Management - стандартный протокол веб-служб для удаленного управления программным обеспечением и оборудованием. Служба WinRM прослушивает сеть на наличие запросов WS-Management и обрабатывает их. Для принятия сетевых запросов необходимо настроить службу WinRM с помощью средства командной строки "winrm.cmd" или через групповую политику. Служба WinRM предоставляет доступ к данным WMI и включает поддержку сбора событий. Работа службы необходима для сбора событий и подписки на события. Для передачи сообщений WinRM используются протоколы HTTP и HTTPS. Служба WinRM не зависит от служб IIS, однако по умолчанию использует тот же порт, что и IIS.  Служба WinRM резервирует префикс URL-адреса /wsman. Для предотвращения конфликтов со службами IIS размещенные на IIS веб-сайты не должны использовать префикс URL-адреса /wsman.		Вручную	Сетевая служба
Служба узла HV	Интерфейс для низкоуровневой оболочки Hyper-V, обеспечивающий функционирование счетчиков производительности по разделам для оперативной системы узла.	Выполняется	Вручную (активировать запуск)	Локальная система
Служба узла поставщика шифрования Windows	Служба узла поставщика шифрования Windows является брокером между функциями шифрования, предоставляемыми сторонними поставщиками, и процессами, которым требуется оценивать и применять политики EAS. При остановке этой службы станут недействительными проверки соответствия EAS, которые были установлены подключенными учетными записями почты		Вручную (активировать запуск)	Локальная служба
Служба улучшения отображения	Служба для управления улучшением отображения (например, регулировка яркости).	Выполняется	Вручную (активировать запуск)	Локальная система
Служба управления Windows	Выполняет управление, включая действия по инициализации и регистрации		Вручную	Локальная система
Служба управления корпоративными приложениями	Обеспечивает управление корпоративными приложениями.		Вручную	Локальная система
Служба управления радио	Служба управления радио и режима "в самолете"	Выполняется	Вручную	Локальная служба
Служба установки Microsoft Store	Обеспечивает поддержку инфраструктуры для Microsoft Store. Эта служба запускается по требованию и если она отключена, то установка не будет функционировать должным образом.	Выполняется	Вручную	Локальная система
Служба установки устройств	Позволяет компьютеру распознавать изменения в установленном оборудовании и подстраиваться под них, либо не требуя вмешательства пользователя, либо сводя его к минимуму. Остановка или отключение этой службы может привести к нестабильной работе системы.		Вручную (активировать запуск)	Локальная система
Служба хранилища	Предоставление служб, обеспечивающих параметры памяти и расширение внешнего хранилища	Выполняется	Автоматически (отложенный запуск, запуск по триггеру)	Локальная система
Служба шифрования дисков BitLocker	BDESVC предоставляет службу шифрования диска BitLocker. Шифрование диска BitLocker обеспечивает защищенный запуск операционной системы, а также полное шифрование тома ОС, фиксированных и съемных томов. Эта служба позволяет BitLocker предлагать пользователям различные действия, связанные с подключением их томов, и автоматически разблокирует тома без пользовательского вмешательства. Кроме того, она по возможности сохраняет сведения о восстановлении в Active Directory и при необходимости гарантирует использование новейших сертификатов восстановления.  Остановка или отключение этой службы может помешать пользователям применять эти функции.		Вручную (активировать запуск)	Локальная система
Служба шлюза уровня приложения	Обеспечивает поддержку стороннего протокола для общего доступа к подключению к Интернету		Вручную	Локальная служба
Службы криптографии	Предоставляет три службы управления: службу баз данных каталога, которая подтверждает подписи файлов Windows и разрешает установку новых программ, службу защищенного корня, которая добавляет и удаляет сертификаты доверенного корневого центра сертификации с этого компьютера, и службу автоматического обновления корневых сертификатов, которая получает корневые сертификаты из центра обновления Windows и разрешает сценарии, такие как SSL. В случае остановки данной службы будет нарушена работа всех этих служб управления. В случае отключения данной службы будет невозможен запуск всех явно зависимых от нее служб.	Выполняется	Автоматически	Сетевая служба
Службы удаленных рабочих столов	Разрешает пользователям интерактивное подключение к удаленному компьютеру. Удаленный рабочий стол и сервер, обслуживающий сеансы подключения к удаленному рабочему столу, зависят от данной службы. Чтобы запретить удаленное использование данного компьютера, необходимо открыть панель управления, дважды щелкнуть компонент "Свойства системы" и затем на вкладке "Удаленный доступ" снять соответствующие флажки.		Вручную	Сетевая служба
Смарт-карта	Управляет доступом к устройствам чтения смарт-карт. Если эта служба остановлена, этот компьютер не сможет считывать смарт-карты. Если эта служба отключена, любые службы, которые явно зависят от нее, не могут быть запущены.		Вручную (активировать запуск)	Локальная служба
События получения неподвижных изображений	Запуск приложений, связанных с событиями загрузки неподвижных изображений.		Вручную	Локальная система
Сопоставитель конечных точек RPC	Обеспечивает разрешение идентификаторов интерфейсов RPC до конечных точек транспорта. Если эта служба остановлена или отключена, программы, использующие службы удаленного вызова процедур (RPC), не смогут работать.	Выполняется	Автоматически	Сетевая служба
Сохранение игр на Xbox Live	Эта служба синхронизирует данные сохранения игр с активированной функцией сохранения на Xbox Live.  При выключении этой службы сохраненные данные игр не будут отправляться на Xbox Live или загружаться оттуда.		Вручную (активировать запуск)	Локальная система
Средство построения конечных точек Windows Audio	Управление звуковыми устройствами для службы Windows Audio.  Если эта служба остановлена, то звуковые устройства и эффекты не будут правильно работать.  Если данная служба отключена, все явно зависящие от нее службы запустить не удастся	Выполняется	Автоматически	Локальная система
Стандартная служба сборщика центра диагностики Microsoft (R)	Стандартная служба сборщика центра диагностики. После запуска служба начинает сбор и обработку происходящих в реальном времени событий службы трассировки событий Windows.		Вручную	Локальная система
Телефония	Обеспечивает поддержку Telephony API (TAPI) для программ, управляющих телефонным оборудованием на этом компьютере, а также через ЛВС - на серверах, где запущена соответствующая служба.		Вручную	Сетевая служба
Телефонная связь	Управляет состоянием телефонной связи на устройстве		Вручную (активировать запуск)	Локальная служба
Темы	Управление темами оформления.	Выполняется	Автоматически	Локальная система
Теневое копирование тома	Управляет созданием теневых копий (контрольных точек состояния) дисковых томов, которые используются для архивации и восстановления или для иных целей. Если эта служба остановлена, теневые копии томов для восстановления не будут доступны и архивация и восстановление могут не работать. Если эта служба отключена, любые службы, которые явно зависят от нее, не могут быть запущены.		Вручную	Локальная система
Тополог канального уровня	Создает карту сети, содержащую сведения о топологии компьютеров и устройств (подключений), а также метаданные, описывающие каждый компьютер и устройство.  Если эта служба отключена, карта сети будет работать неправильно.		Вручную	Локальная служба
Удаленный вызов процедур (RPC)	Служба RPCSS — это диспетчер служб для COM- и DCOM-серверов. Она выполняет запросы активации объектов, разрешение экспортера объектов и распределенный сбор мусора для этих серверов. Если отключить или остановить эту службу, то программы, использующие COM или DCOM, будут работать неправильно. Отключать службу RPCSS не рекомендуется.	Выполняется	Автоматически	Сетевая служба
Удаленный реестр	Позволяет удаленным пользователям изменять параметры реестра на этом компьютере. Если эта служба остановлена, реестр может быть изменен только локальными пользователями, работающими на этом компьютере. Если эта служба отключена, любые службы, которые явно зависят от нее, не могут быть запущены.		Отключена	Локальная служба
Удостоверение приложения	Определяет и проверяет удостоверение приложения. Отключение данной службы делает невозможным принудительное применение политики AppLocker.		Вручную (активировать запуск)	Локальная служба
Узел системы диагностики	Узел системы диагностики используется службой политики диагностики для размещения средств диагностики, запускаемых в контексте локальной системы. Если остановить эту службу, некоторые средства диагностики, зависящие от нее, не смогут работать.	Выполняется	Вручную	Локальная система
Узел службы диагностики	Узел службы диагностики используется службой политики диагностики для размещения средств диагностики, запускаемых в контексте локальной службы. Если остановить эту службу, некоторые средства диагностики, зависящие от нее, не смогут работать.		Вручную	Локальная служба
Узел универсальных PNP-устройств	Позволяет размещать устройства UPnP на этом компьютере. Если эта служба остановлена, все UPnP-устройства прекратят работу, и добавить дополнительные устройства будет невозможно. Если данная служба отключена, все явно зависящие от нее службы запустить не удастся.		Вручную	Локальная служба
Управление приложениями	Обработка запросов на установку, удаление и построение списков для программ, установленных через групповую политику. При отключении этой службы пользователи не смогут устанавливать, удалять и создавать списки программ, установленных через групповую политику. Если эта служба отключена, любые службы, которые явно зависят от нее, не могут быть запущены.		Вручную	Локальная система
Управление уровнями хранилища	Оптимизирует размещение данных в уровнях хранилища всех многоуровневых пространств в системе.		Вручную	Локальная система
Установщик ActiveX (AxInstSV)	Обеспечивает проверку контроля учетных записей для установки элементов ActiveX из Интернета и разрешает управление установкой элементов ActiveX в зависимости от параметров групповой политики. Эта служба запускается по требованию и, если она отключена, установка элементов ActiveX будет выполняться в соответствии с настройками браузера по умолчанию.		Вручную	Локальная система
Установщик Windows	Позволяет добавлять, изменять и удалять приложения, предоставленные пакетом установщика Windows (*.msi, *.msp). Если эта служба отключена, запуск любых явно зависящих от нее служб невозможен.		Вручную	Локальная система
Установщик модулей Windows	Позволяет выполнять установку, изменение и удаление обновлений Windows и дополнительных компонентов. Если эта служба отключена, установка или удаление обновлений Windows могут не работать на этом компьютере.	Выполняется	Вручную	Локальная система
Факс	Позволяет отправлять и получать факсы, используя ресурсы этого компьютера и сетевые ресурсы.		Вручную	Сетевая служба
Фильтрация клавиатуры Microsoft	Управляет фильтрацией и сопоставлением нажатий клавиш		Отключена	Локальная система
Фоновая интеллектуальная служба передачи (BITS)	Передает файлы в фоновом режиме работы, используя незанятую пропускную способность сети. Если эта служба заблокирована, то любые приложения, зависящие от BITS, такие как центр обновления Windows или MSN Explorer, не смогут автоматически скачивать программы и другую информацию.		Вручную	Локальная система
Функциональные возможности для подключенных пользователей и телеметрия	Служба функциональных возможностей для подключенных пользователей и телеметрии обеспечивает работу компонентов, отвечающих за действия подключенных пользователей внутри приложения и их функциональные возможности. Она также контролирует процессы сбора и передачи связанных с различными событиями сведений о диагностике и использовании (эти сведения необходимы для улучшения условий работы и повышения качества платформы Windows), когда в разделе отзывов и диагностики включены параметры конфиденциальности таких сведений.	Выполняется	Автоматически	Локальная система
Хост библиотеки счетчика производительности	Позволяет удаленным пользователям и 64-разрядным процессам запрашивать счетчики производительности, предоставляемые 32-разрядными библиотеками.		Вручную	Локальная служба
